role_id,名字,WAV_NAME,Voice ID,文本1,文本2
1,奈芙,fuhua_shizhilvzhe.wav,cosyvoice-v3.5-plus-fuhuashizh-6a033be3e0474084a5e8aef439821e94,金字塔尘封已醒,新国度由我见证
2,理切尔卡,youlandaier_tianyuanqiying.wav,cosyvoice-v3.5-plus-youlandaie-f52eb57e498142ac906203ff2018c693,想转生的人请排队，不许插队,先给我一份煎蛋
3,莫奈,kaluoeryuyin.wav,cosyvoice-v3.5-plus-kaluoer-928bfd58a7f948c2a0eca2e1d1f5c507,我不是装乖，也不是装甜,猫薄荷的账，我都记着呢
4,巧,buluoniya_cishengyinyi.wav,cosyvoice-v3.5-plus-buluoniyac-d572f315e1154bfcbd1d904fb940761e,我们是否仍然需要相信世间的真理？,就算在迷雾里，我也继续思考
5,伊斯卡莉,yidianyuyin.wav,cosyvoice-v3.5-plus-yidian-63f38ad36874444e981cd2073f677c81,没有对手，就不痛快,策划，你出来对线!
6,留露拉,buluoniya_cishengyinyi.wav,cosyvoice-v3.5-plus-buluoniyac-d572f315e1154bfcbd1d904fb940761e,夜巡结束再开口,请别吵醒旧日的记忆
7,神乐,ningguang.wav,cosyvoice-v3.5-plus-ningguang-d10d34b6ba2d4cc485527dafb356a961,山寺旧钟仍回响,我学着拥抱新欲望
8,葵,keqing.wav,cosyvoice-v3.5-plus-keqing-7f72bcd5b63e4a0aaa2fec8dcfa1fe9f,书页比喧哗可靠,就算日月颠倒，我也仍爱文字
9,真白,lisha.wav,cosyvoice-v3.5-plus-lisha-29c3dcae96ee40e3a6c867be69e9de3c,惊吓道具都过时了,给我一点新鲜玩法
10,诗织,lita_liaoluanxingji.wav,cosyvoice-v3.5-plus-litaliaolu-88d7242c154b42ebaae6d93d15c7b32d,镜头亮起笑容就位,流言退散别碰底线
11,希子,xinyan.wav,cosyvoice-v3.5-plus-xinyan-f5687426a776430595f9d2d5827b069c,会议纪要先删一半,别再拿流程压我
12,嘉普兰,aboniyayuyin.wav,cosyvoice-v3.5-plus-aboniya-ad3e39ded207455ead6af4840de622bd,义体会坏信念不坏,频率校准继续前进
13,卷卷,weierweiyuyin.wav,cosyvoice-v3.5-plus-weierwei-aec3a6a934e743d48d18f2c037413931,阴谋线索我闻到了,真相也许在反面
14,宁宁,paduofeilisiyuyin.wav,cosyvoice-v3.5-plus-paduofeili-c03844e49682462d9a34b9ec69f50a07,选对路比蛮干重要,今天也要被人喜欢
15,星珋,ganyu.wav,cosyvoice-v3.5-plus-ganyu-d85e56b18a664527bcf8e1d9eb6f0cad,新手引导不许跳过,这次主角该轮到我
16,娜塔莉亚,jiutiaoshaluo.wav,cosyvoice-v3.5-plus-jiutiaosha-ab451e02a774456abdbb7383b1c83b62,地图全亮心还迷路,门口那条街先出发
17,真桃,kaifangshijiegenban_paimeng.wav,cosyvoice-v3.5-plus-ailixiya-2f9233117c164740b7f828cd76d203ca,别把我，留在身后,我会乖，也会占有
18,加奈,feixieeryuyin.wav,cosyvoice-v3.5-plus-feixieer-867d3c0a479042b4a8698461612f3066,背叛清单我烧掉了,先学会重新信任吧
19,布丁,qiqi.wav,cosyvoice-v3.5-plus-qiqi-47c5cf272d9c47dd99a32fb2c607b08b,像素心脏还在跳,别让怀旧停在嘴上
20,琉璃,hutao.wav,cosyvoice-v3.5-plus-hutao-d5e34076acc549f9ba75063e163409be,不要忘了去我的杂货铺坐坐哟,这一次我给你打九折
21,由千玖星,hutao.wav,cosyvoice-v3.5-plus-hutao-d5e34076acc549f9ba75063e163409be,直播间熄了我还在,这次靠真本事翻盘
22,千秋,hutao.wav,cosyvoice-v3.5-plus-hutao-d5e34076acc549f9ba75063e163409be,重开无数次也不怂,失败剧本我来改写
23,艾莉莎,youla.wav,cosyvoice-v3.5-plus-youla-b22f1e15d5ff4322984484998e4ec961,旧旗落下，新旗升起,一起把日子越过越好！
24,糯欣,youla.wav,cosyvoice-v3.5-plus-youla-b22f1e15d5ff4322984484998e4ec961,雨幕里我不必撑伞,弹幕再密也擦边过
25,栗子,qiyana_xinyanzhilvzhe.wav,cosyvoice-v3.5-plus-qiyanaxiny-fe9ff9b3c0a648fa91582b34b25b0f42,经费在燃镜头拉满,过气标签贴不住我
26,菲利斯,ying.wav,cosyvoice-v3.5-plus-ying-5e3bdc97fd634f008d2b444f6905e02b,请允许我再帮一次,被需要，让我安心些
27,巧乐斯MK2,ying.wav,cosyvoice-v3.5-plus-ying-5e3bdc97fd634f008d2b444f6905e02b,系统重置我没清空,圆岛记忆仍在缓存
28,三六,ying.wav,cosyvoice-v3.5-plus-ying-5e3bdc97fd634f008d2b444f6905e02b,那次翻盘我记到现在,这回胜场我来封盘
29,雪奈,geleixiuyuyin.wav,cosyvoice-v3.5-plus-geleixiu-94e4a02df2e14f0293201151173bc4e4,换装旅行，现在就出发,别怕我会慢慢跟上
30,灵,geleixiuyuyin.wav,cosyvoice-v3.5-plus-geleixiu-94e4a02df2e14f0293201151173bc4e4,伙伴列队准备出击,羁绊就是最强战术
31,薄荷,geleixiuyuyin.wav,cosyvoice-v3.5-plus-geleixiu-94e4a02df2e14f0293201151173bc4e4,旧旋律仍会发光,请再听我唱一遍
32,钥,meibiwusiyuyin.wav,cosyvoice-v3.5-plus-meibiwusi-80d3063d1baa4bc4a4a925aac037f64a,节拍在我脚下生长,跟不上就听我指挥
33,奥菈托丽奥,leidianjiangjun.wav,cosyvoice-v3.5-plus-leidianjia-a162696bcf384e9dae45eb2fe838a4b3,月光开场帷幕升起,今夜酒馆只演真心
34,康塔塔,shenlilinghua.wav,cosyvoice-v3.5-plus-shenliling-eead85b68c8947e2a6a612e8e1d1ca4b,残响仍在耳侧合唱,万物频率由我统领
35,芸兰,shenlilinghua.wav,cosyvoice-v3.5-plus-shenliling-eead85b68c8947e2a6a612e8e1d1ca4b,百草绘卷今日再开,孢雾起阵莫要近身
20001,甜菜岛商店,ailixiyayuyin.wav,cosyvoice-v3.5-plus-ailixiya-2f9233117c164740b7f828cd76d203ca,嗨，欢迎光临本店，一定要买点什么再走哟！,又来了呀，一定是想我了吧！
20002,树岛商店,duyayuyin.wav,cosyvoice-v3.5-plus-duya-235a2f504ea84d7ea2f9fe7a31c69b11,本店物美价廉，童叟无欺。,走过路过不要错过啊。
20003,石岛商店,zaoyou.wav,cosyvoice-v3.5-plus-zaoyou-0319fe25e1734830853c5811625dd2f7,快点看，快点买~,<speak rate=1.2>又有客人来了吗？</speak>
20004,大月卡商店,youla.wav,cosyvoice-v3.5-plus-youla-b22f1e15d5ff4322984484998e4ec961,尊贵的订阅服务客人你好！,很高兴又能为您服务。
